"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"32684-3",LMW Heparin [Units/volume] in Platelet poor plasma,Heparin.low molecular weight,ACnc,Pt,PPP,Qn,
"3198-9",Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,Coagulation factor VII activity actual/Normal,RelTime,Pt,PPP,Qn,Coag
"3218-5",Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay,Coagulation factor X activity actual/Normal,RelTime,Pt,PPP,Qn,Coag
"3232-6",Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay,Coagulation factor XII activity actual/Normal,RelTime,Pt,PPP,Qn,Coag
"3250-8",Fibrin monomer [Units/volume] in Platelet poor plasma by Latex agglutination,Fibrin monomer,ACnc,Pt,PPP,Qn,LA
"57181-0",Lupus anticoagulant neutralization dilute phospholipid/Lupus anticoagulant neutralization.high phospholipid [Ratio] in Platelet poor plasma by Coagulation assay,Lupus anticoagulant neutralization.dilute phospholipid/Lupus anticoagulant neutralization.high phospholipid,Ratio,Pt,PPP,Qn,Coag
"6232-3",Marsh Elder IgE Ab [Units/volume] in Serum,Iva ciliata Ab.IgE,ACnc,Pt,Ser,Qn,
"25362-5",Calcium [Moles/volume] in 24 hour Urine,Calcium,SCnc,"24H",Urine,Qn,
"21525-1",Sodium [Moles/volume] in 24 hour Urine,Sodium,SCnc,"24H",Urine,Qn,
"8302-2",Body height,Body height,Len,Pt,^Patient,Qn,
"67790-6",Thromboelastography panel in Blood,Thromboelastography panel,-,Pt,Bld,-,
"5964-2",Prothrombin time (PT) in Blood by Coagulation assay,Coagulation tissue factor induced,Time,Pt,Bld,Qn,Coag
"53800-9",Platelets panel in Blood by Automated count,Platelets panel,-,Pt,Bld,Qn,Automated count
"10555-1",Acrosin [Entitic Catalytic Activity] in Spermatazoa,Acrosin,EntCat,Pt,Spermatazoa,Qn,
"52778-8",Maximum clot firmness [Length] in Blood by Thromboelastography,Maximum clot firmness,Len,Pt,Bld,Qn,Thromboelastography
"5995-6",Platelet aggregation collagen induced [Mass threshold] in Platelet rich plasma,Platelet aggregation.collagen induced,ThrMCnc,Pt,PRP,Qn,
"33553-9",Platelet aggregation ristocetin induced [Mass threshold] in Platelet rich plasma --600 ug/mL,Platelet aggregation.ristocetin induced^600 ug/mL,ThrMCnc,Pt,PRP,Qn,
"1677-4",Alpha hydroxybutyrate dehydrogenase [Enzymatic activity/volume] in Serum,Alpha hydroxybutyrate dehydrogenase,CCnc,Pt,Ser,Qn,
"24108-3",Cancer Ag 19-9 [Units/volume] in Serum or Plasma,Cancer Ag 19-9,ACnc,Pt,Ser/Plas,Qn,
"20440-4",Glucose [Mass/volume] in Serum or Plasma --1.5 hours post dose glucose,Glucose^1.5H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"26449-9",Eosinophils [#/volume] in Blood,Eosinophils,NCnc,Pt,Bld,Qn,
"26444-0",Basophils [#/volume] in Blood,Basophils,NCnc,Pt,Bld,Qn,
"11558-4",pH of Blood,pH,LsCnc,Pt,Bld,Qn,
"19230-2",Bicarbonate [Moles/volume] standard in Arterial blood,Bicarbonate^^standard,SCnc,Pt,BldA,Qn,
"2021-4",Carbon dioxide [Partial pressure] in Venous blood,Carbon dioxide,PPres,Pt,BldV,Qn,
"11556-8",Oxygen [Partial pressure] in Blood,Oxygen,PPres,Pt,Bld,Qn,
"30451-9",Neutrophils.segmented [#/volume] in Blood,Neutrophils.segmented,NCnc,Pt,Bld,Qn,
"34235-2",Amylase/Creatinine [Ratio] in Urine,Amylase/Creatinine,Ratio,Pt,Urine,Qn,
"2828-2",Potassium [Moles/volume] in Urine,Potassium,SCnc,Pt,Urine,Qn,
"33950-7",Magnesium/Creatinine [Molar ratio] in Urine,Magnesium/Creatinine,SCrto,Pt,Urine,Qn,
"14836-1",Methotrexate [Moles/volume] in Serum or Plasma,Methotrexate,SCnc,Pt,Ser/Plas,Qn,
"35040-5",Lymphocytes Immunoblastic [#/volume] in Blood,Lymphocytes.immunoblastic,NCnc,Pt,Bld,Qn,
"55804-9",Leukocyte phosphatase [Presence] in Leukocytes,Phosphatase.leukocyte,ACnc,Pt,WBC,Ord,
"32742-9",CD117 cells/100 cells in Unspecified specimen,Cells.CD117/100 cells,NFr,Pt,XXX,Qn,
"49841-0",CD19+IgM+ cells/100 cells in Unspecified specimen,Cells.CD19+IgM+/100 cells,NFr,Pt,XXX,Qn,
"32516-7",CD3+CD4+ cells/100 cells in Unspecified specimen,Cells.CD3+CD4+/100 cells,NFr,Pt,XXX,Qn,
"14796-7",Insulin [Moles/volume] in Serum or Plasma,Insulin,SCnc,Pt,Ser/Plas,Qn,
"29584-0",Differential panel in Cerebral spinal fluid,Differential panel,-,Pt,CSF,-,
"1977-8",Bilirubin [Presence] in Urine,Bilirubin,ACnc,Pt,Urine,Ord,
"31365-0",Endomysium Ab [Presence] in Serum,Endomysium Ab,ACnc,Pt,Ser,Ord,
"20594-8",CD2 cells/100 cells in Unspecified specimen,Cells.CD2/100 cells,NFr,Pt,XXX,Qn,
"44706-0",Actin smooth muscle IgG Ab [Units/volume] in Serum,Actin.smooth muscle Ab.IgG,ACnc,Pt,Ser,Qn,
"8091-1",Ribonucleoprotein extractable nuclear Ab [Presence] in Serum,Ribonucleoprotein extractable nuclear Ab,ACnc,Pt,Ser,Ord,
"53016-2",Sjogrens syndrome-A extractable nuclear 52kD Ab [Presence] in Serum,Sjogrens syndrome-A extractable nuclear 52kD Ab,ACnc,Pt,Ser,Ord,
"27183-3",Cardiolipin IgG Ab [Presence] in Serum,Cardiolipin Ab.IgG,ACnc,Pt,Ser,Ord,
"34350-9",Oxalate/Creatinine [Molar ratio] in Urine,Oxalate/Creatinine,SCrto,Pt,Urine,Qn,
"17465-6",Pigeon serum IgE Ab [Presence] in Serum,Pigeon serum Ab.IgE,ACnc,Pt,Ser,Ord,
"55975-7",IgG [Mass/volume] in Body fluid by Immune diffusion (ID),IgG,MCnc,Pt,Body fld,Qn,Immune diffusion
"15185-2",IgM [Mass/volume] in Body fluid,IgM,MCnc,Pt,Body fld,Qn,
"1928-1",Immunoglobulin light chains [Presence] in Urine,Immunoglobulin light chains,ACnc,Pt,Urine,Ord,
"20575-7",Hepatitis A virus Ab [Presence] in Serum,Hepatitis A virus Ab,ACnc,Pt,Ser,Ord,
"26612-2",Phosphoethanolamine [Moles/volume] in Serum or Plasma,Phosphoethanolamine,SCnc,Pt,Ser/Plas,Qn,
"20643-3",Glutamine [Moles/volume] in Serum or Plasma,Glutamine,SCnc,Pt,Ser/Plas,Qn,
"14875-9",Phenylalanine [Moles/volume] in Serum or Plasma,Phenylalanine,SCnc,Pt,Ser/Plas,Qn,
"26599-1",Anserine [Moles/volume] in Serum or Plasma,Anserine,SCnc,Pt,Ser/Plas,Qn,
"22684-5",Serine/Creatinine [Molar ratio] in Urine,Serine/Creatinine,SCrto,Pt,Urine,Qn,
"22692-8",Valine/Creatinine [Molar ratio] in Urine,Valine/Creatinine,SCrto,Pt,Urine,Qn,
"25092-8",Cystathionine/Creatinine [Molar ratio] in Urine,Cystathionine/Creatinine,SCrto,Pt,Urine,Qn,
"22693-6",Leucine/Creatinine [Molar ratio] in Urine,Leucine/Creatinine,SCrto,Pt,Urine,Qn,
"25994-5",Tryptophan/Creatinine [Molar ratio] in 24 hour Urine,Tryptophan/Creatinine,SCrto,"24H",Urine,Qn,
"16503-5",C reactive protein [Mass/volume] in Body fluid,C reactive protein,MCnc,Pt,Body fld,Qn,
"29953-7",Nuclear Ab [Titer] in Serum,Nuclear Ab,Titr,Pt,Ser,Qn,
"5260-5",Myocardium Ab [Titer] in Serum by Immunofluorescence,Myocardium Ab,Titr,Pt,Ser,Qn,IF
"8123-2",CD3+CD4+ (T4 helper) cells/100 cells in Blood,Cells.CD3+CD4+/100 cells,NFr,Pt,Bld,Qn,
"26571-0",CD16 cells [#/volume] in Blood,Cells.CD16,NCnc,Pt,Bld,Qn,
"11110-4",Megakaryocytes/100 cells in Bone marrow by Microscopy,Megakaryocytes/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"6908-8",Complement C4 [Mass/volume] in Body fluid,Complement C4,MCnc,Pt,Body fld,Qn,
"4477-6",Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma,Complement C1 esterase inhibitor,MCnc,Pt,Ser/Plas,Qn,
"58461-5",Intestinal goblet cell Ab [Titer] in Serum,Intestinal goblet cell Ab,Titr,Pt,Ser,Qn,
"53259-8",Glomerular basement membrane Ab [Titer] in Serum by Immunofluorescence,Glomerular basement membrane Ab,Titr,Pt,Ser,Qn,IF
"10835-7",Lipoprotein a [Mass/volume] in Serum or Plasma,Lipoprotein (little a),MCnc,Pt,Ser/Plas,Qn,
"40682-7",Urate crystals [Presence] in Body fluid by Light microscopy,Urate crystals,ACnc,Pt,Body fld,Ord,Microscopy.light
"23786-7",Urea [Mass/volume] in Unspecified specimen,Urea,MCnc,Pt,XXX,Qn,
"1800-2",Amylase [Enzymatic activity/time] in 24 hour Urine,Amylase,CRat,"24H",Urine,Qn,
"11212-8",Coproporphyrin [Mass/volume] in Urine,Coproporphyrin,MCnc,Pt,Urine,Qn,
"34266-7",Citrate [Moles/volume] in Urine,Citrate,SCnc,Pt,Urine,Qn,
"765-8",Neutrophils.hypersegmented [Presence] in Blood by Light microscopy,Neutrophils.hypersegmented,ACnc,Pt,Bld,Ord,Microscopy.light
"51583-3",Anulocytes [Presence] in Blood by Light microscopy,Anulocytes,ACnc,Pt,Bld,Ord,Microscopy.light
"58471-4",Erythrocytes.pitted in Red Blood Cells,Erythrocytes.pitted/Erythrocytes.total,NFr,Pt,RBC,Qn,
"34167-7",Platelets Large [Presence] in Blood by Automated count,Platelets.large,ACnc,Pt,Bld,Ord,Automated count
"28543-7",Basophils/100 leukocytes in Body fluid,Basophils/100 leukocytes,NFr,Pt,Body fld,Qn,
"20449-5",Borrelia burgdorferi Ab [Presence] in Serum by Immunoassay,Borrelia burgdorferi Ab,ACnc,Pt,Ser,Ord,EIA
"9594-3",Borrelia burgdorferi 45kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 45kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"44946-2",Borrelia burgdorferi 31kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 31kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"33956-4",Cyclosporine.polyclonal [Mass/volume] in Blood,Cyclosporine.polyclonal,MCnc,Pt,Bld,Qn,
"42208-9",IgM.CSF/IgM.serum,IgM.CSF/IgM.serum,RelMCnc,Pt,Ser+CSF,Qn,
"32860-9",TCR alpha beta cells/100 cells in Unspecified specimen,Cells.TCR alpha beta/100 cells,NFr,Pt,XXX,Qn,
"32547-2",Ketones [Moles/volume] in Serum or Plasma by Test strip,Ketones,SCnc,Pt,Ser/Plas,Qn,Test strip
"57900-3",Age of Unspecified specimen,Specimen age,Time,Pt,XXX,Qn,
"29246-6",Lactate [Mass/volume] in Body fluid,Lactate,MCnc,Pt,Body fld,Qn,
"53315-8",Urinalysis microscopic panel in Urine by Automated,Urinalysis microscopic panel,-,Pt,Urine,-,Automated
"9448-2",Heptaporphyrin [Mass/volume] in Urine,Heptaporphyrin,MCnc,Pt,Urine,Qn,
"9452-4",Hexaporphyrin [Mass/volume] in Urine,Hexaporphyrin,MCnc,Pt,Urine,Qn,
"50214-6",Glucose [Mass/volume] in Serum or Plasma --4th specimen,Glucose^4th specimen,MCnc,Pt,Ser/Plas,Qn,
"33269-2",Thyrotropin [Units/volume] in Serum or Plasma --pre dose TRH,Thyrotropin^pre dose TRH,ACnc,Pt,Ser/Plas,Qn,
"1614-7",Prolactin [Mass/volume] in Serum or Plasma --30 minutes post dose TRH IV,Prolactin^30M post dose TRH IV,MCnc,Pt,Ser/Plas,Qn,
"49888-1",Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma --1 hour post dose corticotropin,Dehydroepiandrosterone sulfate^1H post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,
"46397-6",Cortisol [Mass/volume] in Serum or Plasma --15 minutes post 1 ug/kg CRH IV,Cortisol^15M post 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"1415-9",Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 1 ug/kg CRH IV,Cortisol^30M post 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"46410-7",Somatotropin [Mass/volume] in Serum or Plasma --30 minutes post dose arginine,Somatotropin^30M post dose arginine,MCnc,Pt,Ser/Plas,Qn,
"1637-8",Somatotropin [Mass/volume] in Serum or Plasma --pre dose insulin IV,Somatotropin^pre dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"46404-0",Somatotropin [Mass/volume] in Serum or Plasma --2 hours post dose insulin IV,Somatotropin^2H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1368-0",Corticotropin [Mass/volume] in Plasma --pre dose insulin IV,Corticotropin^pre dose insulin IV,MCnc,Pt,Plas,Qn,
