"KAPITEL_CODE","KAPITEL_NURNAME","GRUPPE_CODE","GRUPPE_NURNAME","ICD_NAME","ICD_CODE","ICD_FLAG_RARE","ICD_FLAG_UEBERLEIT"
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T80.9: Nicht näher bezeichnete Komplikation nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.9,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.0: Blutung und Hämatom als Komplikation eines Eingriffes, anderenorts nicht klassifiziert",T81.0,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.1: Schock während oder als Folge eines Eingriffes, anderenorts nicht klassifiziert",T81.1,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.2: Versehentliche Stich- oder Risswunde während eines Eingriffes, anderenorts nicht klassifiziert",T81.2,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.3: Aufreißen einer Operationswunde, anderenorts nicht klassifiziert",T81.3,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T87.1: Komplikationen durch replantierte (Teile der) untere(n) Extremität,T87.1,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T87.2: Komplikationen durch sonstigen replantierten Körperteil,T87.2,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T87.3: Neurom des Amputationsstumpfes,T87.3,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T87.4: Infektion des Amputationsstumpfes,T87.4,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T87.5: Nekrose des Amputationsstumpfes,T87.5,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T87.6: Sonstige und nicht näher bezeichnete Komplikationen am Amputationsstumpf,T87.6,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T88.0: Infektion nach Impfung [Immunisierung],T88.0,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T88.1: Sonstige Komplikationen nach Impfung [Immunisierung], anderenorts nicht klassifiziert",T88.1,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U18.5: Nicht belegte Schlüsselnummer U18.5,U18.5,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U18.6: Nicht belegte Schlüsselnummer U18.6,U18.6,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U18.7: Nicht belegte Schlüsselnummer U18.7,U18.7,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U18.8: Nicht belegte Schlüsselnummer U18.8,U18.8,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U18.9: Nicht belegte Schlüsselnummer U18.9,U18.9,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U19.0: Nicht belegte Schlüsselnummer U19.0,U19.0,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U19.1: Nicht belegte Schlüsselnummer U19.1,U19.1,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U19.2: Nicht belegte Schlüsselnummer U19.2,U19.2,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U19.3: Nicht belegte Schlüsselnummer U19.3,U19.3,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U19.4: Nicht belegte Schlüsselnummer U19.4,U19.4,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U34.5: Nicht belegte Schlüsselnummer U34.5,U34.5,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U34.6: Nicht belegte Schlüsselnummer U34.6,U34.6,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U34.7: Nicht belegte Schlüsselnummer U34.7,U34.7,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U34.8: Nicht belegte Schlüsselnummer U34.8,U34.8,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U34.9: Nicht belegte Schlüsselnummer U34.9,U34.9,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U35.0: Nicht belegte Schlüsselnummer U35.0,U35.0,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U35.1: Nicht belegte Schlüsselnummer U35.1,U35.1,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U35.2: Nicht belegte Schlüsselnummer U35.2,U35.2,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U35.3: Nicht belegte Schlüsselnummer U35.3,U35.3,0,0
22,Schlüsselnummern für besondere Zwecke,U00,"Vorläufige Zuordnungen für Krankheiten mit unklarer Ätiologie, belegte und nicht belegte Schlüsselnummern",U35.4: Nicht belegte Schlüsselnummer U35.4,U35.4,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U50.30: Mittelschwere motorische Funktionseinschränkung: Barthel-Index: 40-55 Punkte,U50.30,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U50.31: Mittelschwere motorische Funktionseinschränkung: Motorischer FIM: 43-58 Punkte,U50.31,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U50.40: Schwere motorische Funktionseinschränkung: Barthel-Index: 20-35 Punkte,U50.40,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U50.41: Schwere motorische Funktionseinschränkung: Motorischer FIM: 31-42 Punkte,U50.41,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U50.50: Sehr schwere motorische Funktionseinschränkung: Barthel-Index: 0-15 Punkte,U50.50,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U50.51: Sehr schwere motorische Funktionseinschränkung: Motorischer FIM: 13-30 Punkte,U50.51,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U51.00: Keine oder leichte kognitive Funktionseinschränkung: Erweiterter Barthel-Index: 70-90 Punkte,U51.00,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U51.01: Keine oder leichte kognitive Funktionseinschränkung: Kognitiver FIM: 30-35 Punkte,U51.01,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U51.02: Keine oder leichte kognitive Funktionseinschränkung: MMSE: 24-30 Punkte,U51.02,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U51.10: Mittlere kognitive Funktionseinschränkung: Erweiterter Barthel-Index: 20-65 Punkte,U51.10,0,0
22,Schlüsselnummern für besondere Zwecke,U50,Funktionseinschränkung,U51.11: Mittlere kognitive Funktionseinschränkung: Kognitiver FIM: 11-29 Punkte,U51.11,0,0
22,Schlüsselnummern für besondere Zwecke,U80,Infektionserreger mit Resistenzen gegen bestimmte Antibiotika oder Chemotherapeutika,U84: Herpesviren mit Resistenz gegen Virustatika,U84,0,0
22,Schlüsselnummern für besondere Zwecke,U80,Infektionserreger mit Resistenzen gegen bestimmte Antibiotika oder Chemotherapeutika,U85: Humanes Immundefizienz-Virus mit Resistenz gegen Virustatika oder Proteinaseinhibitoren,U85,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.0: Nicht belegte Schlüsselnummer U98.0!,U98.0,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.1: Nicht belegte Schlüsselnummer U98.1!,U98.1,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.2: Nicht belegte Schlüsselnummer U98.2!,U98.2,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.3: Nicht belegte Schlüsselnummer U98.3!,U98.3,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.4: Nicht belegte Schlüsselnummer U98.4!,U98.4,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.5: Nicht belegte Schlüsselnummer U98.5!,U98.5,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.6: Nicht belegte Schlüsselnummer U98.6!,U98.6,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.7: Nicht belegte Schlüsselnummer U98.7!,U98.7,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.8: Nicht belegte Schlüsselnummer U98.8!,U98.8,0,0
22,Schlüsselnummern für besondere Zwecke,U98,Belegte und nicht belegte Schlüsselnummern,U98.9: Nicht belegte Schlüsselnummer U98.9!,U98.9,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,"Z22.6: Keimträger von humaner T-Zell-lymphotroper Viruskrankheit, Typ I [HTLV-1]",Z22.6,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,Z22.7: Latente Tuberkulose,Z22.7,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,Z22.8: Keimträger sonstiger Infektionskrankheiten,Z22.8,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,"Z22.9: Keimträger von Infektionskrankheit, nicht näher bezeichnet",Z22.9,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,"Z23.0: Notwendigkeit der Impfung gegen Cholera, nicht kombiniert",Z23.0,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,"Z23.1: Notwendigkeit der Impfung gegen Typhus-Paratyphus [TAB], nicht kombiniert",Z23.1,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,Z23.2: Notwendigkeit der Impfung gegen Tuberkulose [BCG],Z23.2,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z20,Personen mit potentiellen Gesundheitsrisiken hinsichtlich übertragbarer Krankheiten,Z23.3: Notwendigkeit der Impfung gegen Pest,Z23.3,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z43.6: Versorgung sonstiger künstlicher Körperöffnungen des Harntraktes,Z43.6,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z43.7: Versorgung einer künstlichen Vagina,Z43.7,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z43.80: Versorgung eines Thorakostomas,Z43.80,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z43.88: Versorgung sonstiger künstlicher Körperöffnungen,Z43.88,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z43.9: Versorgung einer nicht näher bezeichneten künstlichen Körperöffnung,Z43.9,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z44.0: Versorgen mit und Anpassen eines künstlichen Armes (komplett) (partiell),Z44.0,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z40,"Personen, die das Gesundheitswesen zum Zwecke spezifischer Maßnahmen und zur medizinischen Betreuung in Anspruch nehmen",Z44.1: Versorgen mit und Anpassen eines künstlichen Beines (komplett) (partiell),Z44.1,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z70,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen",Z75.67: Erfolgte Registrierung zur Organtransplantation ohne Dringlichkeitsstufe HU (High Urgency): Leber,Z75.67,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z70,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen",Z75.68: Erfolgte Registrierung zur Organtransplantation ohne Dringlichkeitsstufe HU (High Urgency): Sonstige Organe,Z75.68,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z70,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen",Z75.69: Erfolgte Registrierung zur Organtransplantation ohne Dringlichkeitsstufe HU (High Urgency): Nicht näher bezeichnetes Organ,Z75.69,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z70,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen",Z75.70: Erfolgte Registrierung zur Organtransplantation mit Dringlichkeitsstufe HU (High Urgency): Niere,Z75.70,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z70,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen",Z75.74: Erfolgte Registrierung zur Organtransplantation mit Dringlichkeitsstufe HU (High Urgency): Niere-Pankreas,Z75.74,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z70,"Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen",Z75.75: Erfolgte Registrierung zur Organtransplantation mit Dringlichkeitsstufe HU (High Urgency): Pankreas,Z75.75,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen",Z90.5: Verlust der Niere(n),Z90.5,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen",Z90.6: Verlust anderer Teile des Harntraktes,Z90.6,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen",Z90.7: Verlust eines oder mehrerer Genitalorgane,Z90.7,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen",Z90.8: Verlust sonstiger Organe,Z90.8,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen","Z91.0: Allergie, ausgenommen Allergie gegenüber Arzneimitteln, Drogen oder biologisch aktiven Substanzen, in der Eigenanamnese",Z91.0,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen",Z91.1: Nichtbefolgung ärztlicher Anordnungen [Non-compliance] in der Eigenanamnese,Z91.1,0,0
21,"Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen",Z80,"Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustände, die den Gesundheitszustand beeinflussen","Z91.70: Weibliche Genitalverstümmelung in der Eigenanamnese, Typ nicht näher bezeichnet",Z91.70,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T54.3: Toxische Wirkung: Ätzalkalien und alkaliähnliche Substanzen,T54.3,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,"T54.9: Toxische Wirkung: Ätzende Substanz, nicht näher bezeichnet",T54.9,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T55: Toxische Wirkung von Seifen und Detergenzien,T55,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T56.0: Toxische Wirkung: Blei und dessen Verbindungen,T56.0,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T56.1: Toxische Wirkung: Quecksilber und dessen Verbindungen,T56.1,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T56.2: Toxische Wirkung: Chrom und dessen Verbindungen,T56.2,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T56.3: Toxische Wirkung: Kadmium und dessen Verbindungen,T56.3,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T56.4: Toxische Wirkung: Kupfer und dessen Verbindungen,T56.4,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T56.5: Toxische Wirkung: Zink und dessen Verbindungen,T56.5,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.4: Infektion nach einem Eingriff, anderenorts nicht klassifiziert",T81.4,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.5: Fremdkörper, der versehentlich nach einem Eingriff in einer Körperhöhle oder Operationswunde zurückgeblieben ist",T81.5,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T81.6: Akute Reaktion auf eine während eines Eingriffes versehentlich zurückgebliebene Fremdsubstanz,T81.6,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.7: Gefäßkomplikationen nach einem Eingriff, anderenorts nicht klassifiziert",T81.7,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T81.8: Sonstige Komplikationen bei Eingriffen, anderenorts nicht klassifiziert",T81.8,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T81.9: Nicht näher bezeichnete Komplikation eines Eingriffes,T81.9,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T82.0: Mechanische Komplikation durch eine Herzklappenprothese,T82.0,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T88.2: Schock durch Anästhesie,T88.2,0,0
